file,size_bytes,sha256,entry_count,unique_entry_count,duplicate_entry_count,duplicate_entries_json
중1(2).zip,49817238,ae133fc27b1f9d2f4d29311160b7a0882354ac4a007b64f12dab25b8453a045f,24,16,8,"{""TS_3. 중1_1. 국어.zip"": 2, ""VL_3. 중1_3. 사회.zip"": 2, ""VL_3. 중1_1. 국어.zip"": 2, ""VS_3. 중1_3. 사회.zip"": 2, ""VS_3. 중1_1. 국어.zip"": 2, ""TL_3. 중1_3. 사회.zip"": 2, ""TL_3. 중1_1. 국어.zip"": 2, ""TS_3. 중1_3. 사회.zip"": 2}"
중3(2).zip,40880506,45d5b6a4d6ebe028de9294a23b7c9867ebbe12ad6c533828cbbf80f8d889d744,28,16,12,"{""VL_5. 중3_1. 국어.zip"": 2, ""VS_5. 중3_3. 사회.zip"": 2, ""VS_5. 중3_2. 과학.zip"": 2, ""VS_5. 중3_1. 국어.zip"": 2, ""TL_5. 중3_3. 사회.zip"": 2, ""TL_5. 중3_2. 과학.zip"": 2, ""TL_5. 중3_1. 국어.zip"": 2, ""TS_5. 중3_3. 사회.zip"": 2, ""TS_5. 중3_1. 국어.zip"": 2, ""TS_5. 중3_2. 과학.zip"": 2, ""VL_5. 중3_3. 사회.zip"": 2, ""VL_5. 중3_2. 과학.zip"": 2}"
초5(2).zip,30306080,77897c8d938d36ba3253c02ab50ce7a1822c9b48128db474d34e26917e6374c5,16,16,0,{}
초6 전체(2).zip,48125048,5075dcfe1fccedcb1babbcb7308a85bc37bdeb1c6b38ec790a9cabc5816314b3,24,16,8,"{""TS_2. 초6_1. 국어.zip"": 2, ""VL_2. 초6_1. 국어.zip"": 2, ""VL_2. 초6_3. 사회.zip"": 2, ""VS_2. 초6_3. 사회.zip"": 2, ""VS_2. 초6_1. 국어.zip"": 2, ""TL_2. 초6_3. 사회.zip"": 2, ""TL_2. 초6_1. 국어.zip"": 2, ""TS_2. 초6_3. 사회.zip"": 2}"
